parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
387,BIL248961442,27,0,2024-11-29,1000.0,,
388,BUF240701436,1,0,2024-11-06,1500.0,,
389,BUF240701436,2,0,2024-11-06,1500.0,,
390,BUF240701436,3,0,2024-11-07,1500.0,,
391,BUF240701436,4,0,2024-11-08,1500.0,,
392,BUF240701436,5,0,2024-11-08,1500.0,,
393,BUF240701436,6,0,2024-11-08,1500.0,,
394,BUF240701436,7,0,2024-11-11,1500.0,,
395,BUF240701436,8,0,2024-11-11,1500.0,,
396,BUF240701436,9,0,2024-11-14,1500.0,,
397,BUF240701436,10,0,2024-11-14,1500.0,,
398,BUF240701436,11,0,2024-11-15,1500.0,,
399,BUF240701436,12,0,2024-11-17,1500.0,,
400,BUF240701436,13,0,2024-11-18,1500.0,,
401,BUF240701436,14,0,2024-11-19,1500.0,,
402,BUF240701436,15,0,2024-11-22,1500.0,,
403,BUF240701436,16,0,2024-11-22,1500.0,,
404,BUF240701436,17,0,2024-11-24,1000.0,,
405,BIL249021437,1,0,2024-11-06,1500.0,,
406,BIL249021437,2,0,2024-11-07,1500.0,,
407,BIL249021437,3,0,2024-11-07,1500.0,,
408,BIL249021437,4,0,2024-11-08,1500.0,,
409,BIL249021437,5,0,2024-11-09,1500.0,,
410,BIL249021437,6,0,2024-11-09,0.0,,
411,ZNO240701438,1,0,2024-11-06,1500.0,,
412,ZNO240701438,2,0,2024-11-07,1500.0,,
413,ZNO240701438,3,0,2024-11-08,1500.0,,
414,ZNO240701438,4,0,2024-11-08,500.0,,
415,BUF240701439,1,0,2024-11-06,1500.0,,
416,BUF240701439,2,0,2024-11-06,1500.0,,
417,BUF240701439,3,0,2024-11-06,1500.0,,
418,BUF240701439,4,0,2024-11-08,1500.0,,
419,BUF240701439,5,0,2024-11-10,1500.0,,
420,BUF240701439,6,0,2024-11-11,1500.0,,
421,BUF240701439,7,0,2024-11-11,1000.0,,
422,DEV240701434,1,0,2024-11-06,1500.0,,
423,DEV240701434,2,0,2024-11-09,1500.0,,
424,DEV240701434,3,0,2024-11-10,1500.0,,
425,DEV240701434,4,0,2024-11-11,500.0,,
426,BIL248951300,1,0,2024-11-04,1500.0,,
427,BIL248951300,2,0,2024-11-04,1500.0,,
428,BIL248951300,3,0,2024-11-05,1500.0,,
429,BIL248951300,4,0,2024-11-06,1500.0,,
430,BIL248951300,5,0,2024-11-06,1500.0,,
431,BIL248951300,6,0,2024-11-07,1500.0,,
432,BIL248951300,7,0,2024-11-09,1500.0,,
433,BIL248951300,8,0,2024-11-10,1500.0,,
434,BIL248951300,9,0,2024-11-10,1500.0,,
435,BIL248951300,10,0,2024-11-11,1500.0,,
436,BIL248951300,11,0,2024-11-12,1500.0,,
437,BIL248951300,12,0,2024-11-13,1500.0,,
438,BIL248951300,13,0,2024-11-15,1500.0,,
439,BIL248951300,14,0,2024-11-15,1500.0,,
440,BIL248951300,15,0,2024-11-15,1500.0,,
441,BIL248951300,16,0,2024-11-18,1500.0,,
442,BIL248951300,17,0,2024-11-21,1000.0,,
443,BUF249201299,1,0,2024-11-04,1600.0,,
444,BUF249201299,2,0,2024-11-05,1600.0,,
445,BUF249201299,3,0,2024-11-05,1600.0,,
446,BUF249201299,4,0,2024-11-06,1600.0,,
447,BUF249201299,5,0,2024-11-06,1600.0,,
448,BUF249201299,6,0,2024-11-07,1600.0,,
449,BUF249201299,7,0,2024-11-07,1600.0,,
450,BUF249201299,8,0,2024-11-07,1600.0,,
451,BUF249201299,9,0,2024-11-08,1600.0,,
452,BUF249201299,10,0,2024-11-09,1600.0,,
453,BUF249201299,11,0,2024-11-09,1600.0,,
454,BUF249201299,12,0,2024-11-09,1600.0,,
455,BUF249201299,13,0,2024-11-10,800.0,,
456,BUF249751298,1,0,2024-11-04,1500.0,,
457,BUF249751298,2,0,2024-11-07,1500.0,,
458,BUF249751298,3,0,2024-11-07,1500.0,,
459,BUF249751298,4,0,2024-11-07,1500.0,,
460,BUF249751298,5,0,2024-11-08,1500.0,,
461,BUF249751298,6,0,2024-11-08,1500.0,,
462,BUF249751298,7,0,2024-11-08,1500.0,,
463,BUF249751298,8,0,2024-11-08,1500.0,,
464,BUF249751298,9,0,2024-11-08,1500.0,,
465,BUF249751298,10,0,2024-11-08,1500.0,,
466,BUF249751298,11,0,2024-11-10,1500.0,,
467,BUF249751298,12,0,2024-11-11,1500.0,,
468,BUF249751298,13,0,2024-11-11,1500.0,,
469,BUF249751298,14,0,2024-11-12,1500.0,,
470,BUF249751298,15,0,2024-11-12,1500.0,,
471,BUF249751298,16,0,2024-11-13,1500.0,,
472,BUF249751298,17,0,2024-11-14,1500.0,,
473,BUF249751298,18,0,2024-11-15,1500.0,,
474,BUF249751298,19,0,2024-11-15,1500.0,,
475,BUF249751298,20,0,2024-11-16,1500.0,,
476,BUF249751298,21,0,2024-11-17,1500.0,,
477,BUF249751298,22,0,2024-11-19,1500.0,,
478,BUF249751298,23,0,2024-11-21,1500.0,,
479,BUF249751298,24,0,2024-11-21,1500.0,,
480,BUF249751298,25,0,2024-11-21,1000.0,,
481,BUF249751297,1,0,2024-11-04,1500.0,,
482,BUF249751297,2,0,2024-11-04,1500.0,,
483,BUF249751297,3,0,2024-11-04,1500.0,,
484,BUF249751297,4,0,2024-11-06,1500.0,,
485,BUF249751297,5,0,2024-11-08,0.0,,
486,BIL249131112,1,0,2024-11-01,1500.0,,
487,BIL249131112,2,0,2024-11-02,1500.0,,
488,BIL249131112,3,0,2024-11-02,1500.0,,
489,BIL249131112,4,0,2024-11-02,1500.0,,
490,BIL249131112,5,0,2024-11-02,1500.0,,
491,BIL249131112,6,0,2024-11-02,1500.0,,
492,BIL249131112,7,0,2024-11-02,1000.0,,
493,BUF240961111,1,0,2024-11-01,1600.0,,
494,BUF240961111,2,0,2024-11-01,1600.0,,
495,BUF240961111,3,0,2024-11-02,1600.0,,
496,BUF240961111,4,0,2024-11-03,1600.0,,
497,BUF240961111,5,0,2024-11-03,1600.0,,
498,BUF240961111,6,0,2024-11-04,1600.0,,
499,BUF240961111,7,0,2024-11-04,1600.0,,
500,BUF240961111,8,0,2024-11-04,1600.0,,
501,BUF240961111,9,0,2024-11-06,1200.0,,
502,BIL248961719,1,0,2024-10-30,1500.0,,
503,BIL248961719,2,0,2024-10-31,1500.0,,
504,BIL248961719,3,0,2024-11-01,1500.0,,
505,BIL248961719,4,0,2024-11-04,1500.0,,
506,BIL248961719,5,0,2024-11-04,1500.0,,
507,BIL248961719,6,0,2024-11-04,1500.0,,
